delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,key_resp.keys,key_resp.rt,sound_1.started,sound_1.stopped,text.started,textbox.started,button.started,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
0.7,1000,exp,0,0,0,8,48.33090497246212,49.14284456239193,49.14284456239193,49.343031216769305,space,5.030455073905614,54.943002149273255,55.28175905363105,55.28175905363105,55.28175905363105,55.28175905363105,250,1,[64.85013024092268],[64.85013388263633],006637,001,2022-11-04_11h32.24.680,untitled,2022.2.2,59.98129404691774,
0.1,1000,exp,0,1,1,9,120.12687564805947,121.11044589141875,121.11044589141875,121.12679420609948,space,16.748592065903267,137.96240619276722,,138.26099532668832,138.26099532668832,138.26099532668832,300 ,2,"[64.85013024092268, 9.732799193261144]","[64.85013388263633, 9.732802503909625]",006637,001,2022-11-04_11h32.24.680,untitled,2022.2.2,59.98129404691774,
0.4,1000,exp,0,2,2,7,147.99456358365796,148.99446128461113,148.99446128461113,148.99446128461113,space,1.3600013561131163,150.77784182779595,151.07788168800698,151.07788168800698,151.07788168800698,151.07788168800698,400,3,"[64.85013024092268, 9.732799193261144, 34.917669793243476]","[64.85013388263633, 9.732802503909625, 34.91767310389196]",006637,001,2022-11-04_11h32.24.680,untitled,2022.2.2,59.98129404691774,
0.4,1000,exp,0,3,3,10,185.99615534358554,186.9950373374968,186.9950373374968,187.01167334755564,space,9.077936398536167,196.4950690535117,,196.79507878681943,196.79507878681943,196.79507878681943,450,4,"[64.85013024092268, 9.732799193261144, 34.917669793243476, 24.8494535443142]","[64.85013388263633, 9.732802503909625, 34.91767310389196, 24.849456854963137]",006637,001,2022-11-04_11h32.24.680,untitled,2022.2.2,59.98129404691774,
0.7,400,unexp,0,4,4,2,221.64550797932543,222.6454550089452,222.6454550089452,222.6454550089452,space,0.13135934451020148,223.47884290177007,,223.77894268472437,223.77894268472437,223.77894268472437,"459
",5,"[64.85013024092268, 9.732799193261144, 34.917669793243476, 24.8494535443142, 3.4327584060683876]","[64.85013388263633, 9.732802503909625, 34.91767310389196, 24.849456854963137, 3.4327620477820346]",006637,001,2022-11-04_11h32.24.680,untitled,2022.2.2,59.98129404691774,
0.7,1000,exp,0,5,5,5,227.21215398754384,228.21219570171843,228.21219570171843,228.21219570171843,space,0.0198388165013057,228.94573244131215,229.24639702094555,229.24639702094555,229.24639702094555,229.24639702094555,"300
",6,"[64.85013024092268, 9.732799193261144, 34.917669793243476, 24.8494535443142, 3.4327584060683876, 3.1316251047819605]","[64.85013388263633, 9.732802503909625, 34.91767310389196, 24.849456854963137, 3.4327620477820346, 3.131629077560774]",006637,001,2022-11-04_11h32.24.680,untitled,2022.2.2,59.98129404691774,
0.4,1000,exp,0,6,6,4,232.37888355653695,233.37891600089506,233.37891600089506,233.37891600089506,space,0.9733179110785386,234.7789810220367,235.07901823372913,235.07901823372913,235.07901823372913,235.07901823372913,"200
 ",7,"[64.85013024092268, 9.732799193261144, 34.917669793243476, 24.8494535443142, 3.4327584060683876, 3.1316251047819605, 4.366286869039868]","[64.85013388263633, 9.732802503909625, 34.91767310389196, 24.849456854963137, 3.4327620477820346, 3.131629077560774, 4.366290179688804]",006637,001,2022-11-04_11h32.24.680,untitled,2022.2.2,59.98129404691774,
0.4,400,unexp,0,7,7,1,239.44581063883606,240.44573085220054,240.44573085220054,240.44573085220054,space,0.4660361391133847,241.32901717432122,241.62904048128894,241.62904048128894,241.62904048128894,241.62904048128894,"450
",8,"[64.85013024092268, 9.732799193261144, 34.917669793243476, 24.8494535443142, 3.4327584060683876, 3.1316251047819605, 4.366286869039868, 5.599688269312082]","[64.85013388263633, 9.732802503909625, 34.91767310389196, 24.849456854963137, 3.4327620477820346, 3.131629077560774, 4.366290179688804, 5.599691579961018]",006637,001,2022-11-04_11h32.24.680,untitled,2022.2.2,59.98129404691774,
0.1,400,unexp,0,8,8,0,247.22909457728974,248.22912867697187,248.22912867697187,248.22912867697187,space,0.3065873488908437,248.6471705209239,,248.94596690145772,248.94596690145772,248.94596690145772,100,9,"[64.85013024092268, 9.732799193261144, 34.917669793243476, 24.8494535443142, 3.4327584060683876, 3.1316251047819605, 4.366286869039868, 5.599688269312082, 2.8653264498320823]","[64.85013388263633, 9.732802503909625, 34.91767310389196, 24.849456854963137, 3.4327620477820346, 3.131629077560774, 4.366290179688804, 5.599691579961018, 2.8653300915457294]",006637,001,2022-11-04_11h32.24.680,untitled,2022.2.2,59.98129404691774,
0.1,1000,exp,0,9,9,6,251.81252193304817,252.81258880815312,252.81258880815312,252.81258880815312,space,0.4112770152964913,253.3298746323523,,253.63128642541278,253.63128642541278,253.63128642541278,"250
",10,"[64.85013024092268, 9.732799193261144, 34.917669793243476, 24.8494535443142, 3.4327584060683876, 3.1316251047819605, 4.366286869039868, 5.599688269312082, 2.8653264498320823, 3.7640944250001667]","[64.85013388263633, 9.732802503909625, 34.91767310389196, 24.849456854963137, 3.4327620477820346, 3.131629077560774, 4.366290179688804, 5.599691579961018, 2.8653300915457294, 3.7640980667138138]",006637,001,2022-11-04_11h32.24.680,untitled,2022.2.2,59.98129404691774,
0.7,1000,exp,0,10,10,11,257.39598040890496,258.3811404258022,258.3811404258022,258.39780854915443,space,0.32983108282587636,259.42946821710956,,259.7294964900502,259.7294964900502,259.7294964900502,"100
  ",11,"[64.85013024092268, 9.732799193261144, 34.917669793243476, 24.8494535443142, 3.4327584060683876, 3.1316251047819605, 4.366286869039868, 5.599688269312082, 2.8653264498320823, 3.7640944250001667, 5.5826251855619375]","[64.85013388263633, 9.732802503909625, 34.91767310389196, 24.849456854963137, 3.4327620477820346, 3.131629077560774, 4.366290179688804, 5.599691579961018, 2.8653300915457294, 3.7640980667138138, 5.582628496210873]",006637,001,2022-11-04_11h32.24.680,untitled,2022.2.2,59.98129404691774,
0.1,1000,exp,0,11,11,3,265.3128861044124,266.3128374378757,266.3128374378757,266.3128374378757,space,0.2304576562114562,266.6629947599051,266.9629366249128,266.9629366249128,266.9629366249128,266.9629366249128,650,12,"[64.85013024092268, 9.732799193261144, 34.917669793243476, 24.8494535443142, 3.4327584060683876, 3.1316251047819605, 4.366286869039868, 5.599688269312082, 2.8653264498320823, 3.7640944250001667, 5.5826251855619375, 9.33276522600454]","[64.85013388263633, 9.732802503909625, 34.91767310389196, 24.849456854963137, 3.4327620477820346, 3.131629077560774, 4.366290179688804, 5.599691579961018, 2.8653300915457294, 3.7640980667138138, 5.582628496210873, 9.332768536653475]",006637,001,2022-11-04_11h32.24.680,untitled,2022.2.2,59.98129404691774,
0.7,400,unexp,1,0,12,2,276.29630472005783,277.29664737220537,277.29664737220537,277.29664737220537,space,0.08603358329264665,278.113118843021,278.41311268521395,278.41311268521395,278.41311268521395,278.41311268521395,450,13,"[64.85013024092268, 9.732799193261144, 34.917669793243476, 24.8494535443142, 3.4327584060683876, 3.1316251047819605, 4.366286869039868, 5.599688269312082, 2.8653264498320823, 3.7640944250001667, 5.5826251855619375, 9.33276522600454, 2.099304565119837]","[64.85013388263633, 9.732802503909625, 34.91767310389196, 24.849456854963137, 3.4327620477820346, 3.131629077560774, 4.366290179688804, 5.599691579961018, 2.8653300915457294, 3.7640980667138138, 5.582628496210873, 9.332768536653475, 2.0993078757687726]",006637,001,2022-11-04_11h32.24.680,untitled,2022.2.2,59.98129404691774,
0.7,1000,exp,1,1,13,11,280.51308335286603,281.5130800422171,281.5130800422171,281.5130800422171,space,4.533256213828281,286.74651812447763,287.0472740780174,287.0472740780174,287.0472740780174,287.0472740780174,300,14,"[64.85013024092268, 9.732799193261144, 34.917669793243476, 24.8494535443142, 3.4327584060683876, 3.1316251047819605, 4.366286869039868, 5.599688269312082, 2.8653264498320823, 3.7640944250001667, 5.5826251855619375, 9.33276522600454, 2.099304565119837, 2.515198526364202]","[64.85013388263633, 9.732802503909625, 34.91767310389196, 24.849456854963137, 3.4327620477820346, 3.131629077560774, 4.366290179688804, 5.599691579961018, 2.8653300915457294, 3.7640980667138138, 5.582628496210873, 9.332768536653475, 2.0993078757687726, 2.515202168077849]",006637,001,2022-11-04_11h32.24.680,untitled,2022.2.2,59.98129404691774,
0.7,1000,exp,1,2,14,5,289.563306887871,290.5630738181976,290.5630738181976,290.5630738181976,space,6.379215699432734,297.6633539652964,,297.96332099123447,297.96332099123447,297.96332099123447,250,15,"[64.85013024092268, 9.732799193261144, 34.917669793243476, 24.8494535443142, 3.4327584060683876, 3.1316251047819605, 4.366286869039868, 5.599688269312082, 2.8653264498320823, 3.7640944250001667, 5.5826251855619375, 9.33276522600454, 2.099304565119837, 2.515198526364202, 3.432824619043913]","[64.85013388263633, 9.732802503909625, 34.91767310389196, 24.849456854963137, 3.4327620477820346, 3.131629077560774, 4.366290179688804, 5.599691579961018, 2.8653300915457294, 3.7640980667138138, 5.582628496210873, 9.332768536653475, 2.0993078757687726, 2.515202168077849, 3.4328279296928486]",006637,001,2022-11-04_11h32.24.680,untitled,2022.2.2,59.98129404691774,
0.1,400,unexp,1,3,15,0,301.3970312088236,302.3966779626003,302.3966779626003,302.3966779626003,space,1.4888239967131085,303.99672636428494,304.2966798165635,304.2966798165635,304.2966798165635,304.2966798165635,500,16,"[64.85013024092268, 9.732799193261144, 34.917669793243476, 24.8494535443142, 3.4327584060683876, 3.1316251047819605, 4.366286869039868, 5.599688269312082, 2.8653264498320823, 3.7640944250001667, 5.5826251855619375, 9.33276522600454, 2.099304565119837, 2.515198526364202, 3.432824619043913, 2.6829163240145135]","[64.85013388263633, 9.732802503909625, 34.91767310389196, 24.849456854963137, 3.4327620477820346, 3.131629077560774, 4.366290179688804, 5.599691579961018, 2.8653300915457294, 3.7640980667138138, 5.582628496210873, 9.332768536653475, 2.0993078757687726, 2.515202168077849, 3.4328279296928486, 2.6829199657281606]",006637,001,2022-11-04_11h32.24.680,untitled,2022.2.2,59.98129404691774,
0.4,400,unexp,1,4,16,1,306.9801192230834,307.9800741982599,307.9800741982599,307.9800741982599,space,2.489646030802305,310.89693778231566,,311.19794004812366,311.19794004812366,311.19794004812366,360,17,"[64.85013024092268, 9.732799193261144, 34.917669793243476, 24.8494535443142, 3.4327584060683876, 3.1316251047819605, 4.366286869039868, 5.599688269312082, 2.8653264498320823, 3.7640944250001667, 5.5826251855619375, 9.33276522600454, 2.099304565119837, 2.515198526364202, 3.432824619043913, 2.6829163240145135, 2.4812835782549882]","[64.85013388263633, 9.732802503909625, 34.91767310389196, 24.849456854963137, 3.4327620477820346, 3.131629077560774, 4.366290179688804, 5.599691579961018, 2.8653300915457294, 3.7640980667138138, 5.582628496210873, 9.332768536653475, 2.0993078757687726, 2.515202168077849, 3.4328279296928486, 2.6829199657281606, 2.4812872199686353]",006637,001,2022-11-04_11h32.24.680,untitled,2022.2.2,59.98129404691774,
0.1,1000,exp,1,5,17,6,313.6801115423782,314.6800738009824,314.6800738009824,314.6800738009824,space,2.5098886616292475,317.3135395602664,317.6135135385671,317.6135135385671,317.6135135385671,317.6135135385671,600,18,"[64.85013024092268, 9.732799193261144, 34.917669793243476, 24.8494535443142, 3.4327584060683876, 3.1316251047819605, 4.366286869039868, 5.599688269312082, 2.8653264498320823, 3.7640944250001667, 5.5826251855619375, 9.33276522600454, 2.099304565119837, 2.515198526364202, 3.432824619043913, 2.6829163240145135, 2.4812835782549882, 2.7990972522939046]","[64.85013388263633, 9.732802503909625, 34.91767310389196, 24.849456854963137, 3.4327620477820346, 3.131629077560774, 4.366290179688804, 5.599691579961018, 2.8653300915457294, 3.7640980667138138, 5.582628496210873, 9.332768536653475, 2.0993078757687726, 2.515202168077849, 3.4328279296928486, 2.6829199657281606, 2.4812872199686353, 2.79910056294284]",006637,001,2022-11-04_11h32.24.680,untitled,2022.2.2,59.98129404691774,
0.4,1000,exp,1,6,18,7,320.4134947340822,321.41354207635914,321.41354207635914,321.41354207635914,space,2.375617686352143,324.2135357861268,324.51360676643617,324.51360676643617,324.51360676643617,324.51360676643617,450,19,"[64.85013024092268, 9.732799193261144, 34.917669793243476, 24.8494535443142, 3.4327584060683876, 3.1316251047819605, 4.366286869039868, 5.599688269312082, 2.8653264498320823, 3.7640944250001667, 5.5826251855619375, 9.33276522600454, 2.099304565119837, 2.515198526364202, 3.432824619043913, 2.6829163240145135, 2.4812835782549882, 2.7990972522939046, 2.3993662093998864]","[64.85013388263633, 9.732802503909625, 34.91767310389196, 24.849456854963137, 3.4327620477820346, 3.131629077560774, 4.366290179688804, 5.599691579961018, 2.8653300915457294, 3.7640980667138138, 5.582628496210873, 9.332768536653475, 2.0993078757687726, 2.515202168077849, 3.4328279296928486, 2.6829199657281606, 2.4812872199686353, 2.79910056294284, 2.399369520048822]",006637,001,2022-11-04_11h32.24.680,untitled,2022.2.2,59.98129404691774,
0.1,1000,exp,1,7,19,3,326.91374005315583,327.91369105555395,327.91369105555395,327.91369105555395,space,2.579706933497164,330.59878869982884,,330.8973354574455,330.8973354574455,330.8973354574455,700,20,"[64.85013024092268, 9.732799193261144, 34.917669793243476, 24.8494535443142, 3.4327584060683876, 3.1316251047819605, 4.366286869039868, 5.599688269312082, 2.8653264498320823, 3.7640944250001667, 5.5826251855619375, 9.33276522600454, 2.099304565119837, 2.515198526364202, 3.432824619043913, 2.6829163240145135, 2.4812835782549882, 2.7990972522939046, 2.3993662093998864, 2.232909437865146]","[64.85013388263633, 9.732802503909625, 34.91767310389196, 24.849456854963137, 3.4327620477820346, 3.131629077560774, 4.366290179688804, 5.599691579961018, 2.8653300915457294, 3.7640980667138138, 5.582628496210873, 9.332768536653475, 2.0993078757687726, 2.515202168077849, 3.4328279296928486, 2.6829199657281606, 2.4812872199686353, 2.79910056294284, 2.399369520048822, 2.2329130795787933]",006637,001,2022-11-04_11h32.24.680,untitled,2022.2.2,59.98129404691774,
0.7,1000,exp,1,8,20,8,333.130593175561,334.1304892211897,334.1304892211897,334.1304892211897,space,6.554206992426771,341.41410382724206,,341.71416984157895,341.71416984157895,341.71416984157895,567,21,"[64.85013024092268, 9.732799193261144, 34.917669793243476, 24.8494535443142, 3.4327584060683876, 3.1316251047819605, 4.366286869039868, 5.599688269312082, 2.8653264498320823, 3.7640944250001667, 5.5826251855619375, 9.33276522600454, 2.099304565119837, 2.515198526364202, 3.432824619043913, 2.6829163240145135, 2.4812835782549882, 2.7990972522939046, 2.3993662093998864, 2.232909437865146, 2.2159655374703107]","[64.85013388263633, 9.732802503909625, 34.91767310389196, 24.849456854963137, 3.4327620477820346, 3.131629077560774, 4.366290179688804, 5.599691579961018, 2.8653300915457294, 3.7640980667138138, 5.582628496210873, 9.332768536653475, 2.0993078757687726, 2.515202168077849, 3.4328279296928486, 2.6829199657281606, 2.4812872199686353, 2.79910056294284, 2.399369520048822, 2.2329130795787933, 2.215968848119246]",006637,001,2022-11-04_11h32.24.680,untitled,2022.2.2,59.98129404691774,
0.4,1000,exp,1,9,21,10,343.9309077534067,344.9152444119559,344.9152444119559,344.9321687795227,space,1.0016193231363104,346.34753297075093,346.64753707595537,346.64753707595537,346.64753707595537,346.64753707595537,568 ,22,"[64.85013024092268, 9.732799193261144, 34.917669793243476, 24.8494535443142, 3.4327584060683876, 3.1316251047819605, 4.366286869039868, 5.599688269312082, 2.8653264498320823, 3.7640944250001667, 5.5826251855619375, 9.33276522600454, 2.099304565119837, 2.515198526364202, 3.432824619043913, 2.6829163240145135, 2.4812835782549882, 2.7990972522939046, 2.3993662093998864, 2.232909437865146, 2.2159655374703107, 2.649257620120352]","[64.85013388263633, 9.732802503909625, 34.91767310389196, 24.849456854963137, 3.4327620477820346, 3.131629077560774, 4.366290179688804, 5.599691579961018, 2.8653300915457294, 3.7640980667138138, 5.582628496210873, 9.332768536653475, 2.0993078757687726, 2.515202168077849, 3.4328279296928486, 2.6829199657281606, 2.4812872199686353, 2.79910056294284, 2.399369520048822, 2.2329130795787933, 2.215968848119246, 2.6492615928987107]",006637,001,2022-11-04_11h32.24.680,untitled,2022.2.2,59.98129404691774,
0.4,1000,exp,1,10,22,4,349.29753826778915,350.2977018138381,350.2977018138381,350.2977018138381,space,1.2903797367825973,351.99751992679484,352.2975985215967,352.2975985215967,352.2975985215967,352.2975985215967,907,23,"[64.85013024092268, 9.732799193261144, 34.917669793243476, 24.8494535443142, 3.4327584060683876, 3.1316251047819605, 4.366286869039868, 5.599688269312082, 2.8653264498320823, 3.7640944250001667, 5.5826251855619375, 9.33276522600454, 2.099304565119837, 2.515198526364202, 3.432824619043913, 2.6829163240145135, 2.4812835782549882, 2.7990972522939046, 2.3993662093998864, 2.232909437865146, 2.2159655374703107, 2.649257620120352, 2.0827900558701913]","[64.85013388263633, 9.732802503909625, 34.91767310389196, 24.849456854963137, 3.4327620477820346, 3.131629077560774, 4.366290179688804, 5.599691579961018, 2.8653300915457294, 3.7640980667138138, 5.582628496210873, 9.332768536653475, 2.0993078757687726, 2.515202168077849, 3.4328279296928486, 2.6829199657281606, 2.4812872199686353, 2.79910056294284, 2.399369520048822, 2.2329130795787933, 2.215968848119246, 2.6492615928987107, 2.0827933665191267]",006637,001,2022-11-04_11h32.24.680,untitled,2022.2.2,59.98129404691774,
0.1,1000,exp,1,11,23,9,354.3811669109923,355.3809576779904,355.3809576779904,355.3809576779904,space,0.8392697424633297,356.3476240135921,,356.64765460398667,356.64765460398667,356.64765460398667,568,24,"[64.85013024092268, 9.732799193261144, 34.917669793243476, 24.8494535443142, 3.4327584060683876, 3.1316251047819605, 4.366286869039868, 5.599688269312082, 2.8653264498320823, 3.7640944250001667, 5.5826251855619375, 9.33276522600454, 2.099304565119837, 2.515198526364202, 3.432824619043913, 2.6829163240145135, 2.4812835782549882, 2.7990972522939046, 2.3993662093998864, 2.232909437865146, 2.2159655374703107, 2.649257620120352, 2.0827900558701913, 5.932544869222511]","[64.85013388263633, 9.732802503909625, 34.91767310389196, 24.849456854963137, 3.4327620477820346, 3.131629077560774, 4.366290179688804, 5.599691579961018, 2.8653300915457294, 3.7640980667138138, 5.582628496210873, 9.332768536653475, 2.0993078757687726, 2.515202168077849, 3.4328279296928486, 2.6829199657281606, 2.4812872199686353, 2.79910056294284, 2.399369520048822, 2.2329130795787933, 2.215968848119246, 2.6492615928987107, 2.0827933665191267, 5.932548510936158]",006637,001,2022-11-04_11h32.24.680,untitled,2022.2.2,59.98129404691774,
0.1,1000,exp,2,0,24,6,362.5810814300412,363.5811003007393,363.5811003007393,363.5811003007393,space,1.3343845491413049,365.04778484490924,365.3478352991965,365.3478352991965,365.3478352991965,365.3478352991965,897,25,"[64.85013024092268, 9.732799193261144, 34.917669793243476, 24.8494535443142, 3.4327584060683876, 3.1316251047819605, 4.366286869039868, 5.599688269312082, 2.8653264498320823, 3.7640944250001667, 5.5826251855619375, 9.33276522600454, 2.099304565119837, 2.515198526364202, 3.432824619043913, 2.6829163240145135, 2.4812835782549882, 2.7990972522939046, 2.3993662093998864, 2.232909437865146, 2.2159655374703107, 2.649257620120352, 2.0827900558701913, 5.932544869222511, 2.2659864607708187]","[64.85013388263633, 9.732802503909625, 34.91767310389196, 24.849456854963137, 3.4327620477820346, 3.131629077560774, 4.366290179688804, 5.599691579961018, 2.8653300915457294, 3.7640980667138138, 5.582628496210873, 9.332768536653475, 2.0993078757687726, 2.515202168077849, 3.4328279296928486, 2.6829199657281606, 2.4812872199686353, 2.79910056294284, 2.399369520048822, 2.2329130795787933, 2.215968848119246, 2.6492615928987107, 2.0827933665191267, 5.932548510936158, 2.265989771419754]",006637,001,2022-11-04_11h32.24.680,untitled,2022.2.2,59.98129404691774,
0.4,400,unexp,2,1,25,1,367.6144431687412,368.61445012110335,368.61445012110335,368.61445012110335,space,1.0612070281817978,370.0978623803032,370.39781384619255,370.39781384619255,370.39781384619255,370.39781384619255,230,26,"[64.85013024092268, 9.732799193261144, 34.917669793243476, 24.8494535443142, 3.4327584060683876, 3.1316251047819605, 4.366286869039868, 5.599688269312082, 2.8653264498320823, 3.7640944250001667, 5.5826251855619375, 9.33276522600454, 2.099304565119837, 2.515198526364202, 3.432824619043913, 2.6829163240145135, 2.4812835782549882, 2.7990972522939046, 2.3993662093998864, 2.232909437865146, 2.2159655374703107, 2.649257620120352, 2.0827900558701913, 5.932544869222511, 2.2659864607708187, 2.699379518207479]","[64.85013388263633, 9.732802503909625, 34.91767310389196, 24.849456854963137, 3.4327620477820346, 3.131629077560774, 4.366290179688804, 5.599691579961018, 2.8653300915457294, 3.7640980667138138, 5.582628496210873, 9.332768536653475, 2.0993078757687726, 2.515202168077849, 3.4328279296928486, 2.6829199657281606, 2.4812872199686353, 2.79910056294284, 2.399369520048822, 2.2329130795787933, 2.215968848119246, 2.6492615928987107, 2.0827933665191267, 5.932548510936158, 2.265989771419754, 2.6993828288564146]",006637,001,2022-11-04_11h32.24.680,untitled,2022.2.2,59.98129404691774,
