condition,,,
exp,,,
exp,,,
exp,,,
exp,,,
unexp,,,
exp,,,
exp,,,
unexp,,,
unexp,,,
exp,,,
exp,,,
exp,,,
unexp,,,
exp,,,
exp,,,
unexp,,,
unexp,,,
exp,,,
exp,,,
exp,,,
exp,,,
exp,,,
exp,,,
exp,,,
exp,,,
unexp,,,
unexp,exp = 45,,0.75
exp,unexp = 15,,0.25
exp,,,
exp,,,
exp,,,
exp,,,
unexp,,,
exp,,,
exp,,,
exp,,,
exp,,,
exp,,,
exp,,,
exp,,,
exp,,,
unexp,,,
exp,,,
exp,,,
unexp,,,
exp,,,
unexp,,,
exp,,,
unexp,,,
unexp,,,
exp,,,
exp,,,
unexp,,,
exp,,,
exp,,,
exp,,,
exp,,,
exp,,,
exp,,,
exp,,,